Stkcd,Stknme,Listdt,Conme,Markettype,ID
000166,申万宏源,1/26/15,申万宏源集团股份有限公司,4,P9703
001872,招商港口,12/26/18,招商局港口集团股份有限公司,4,P9703
001965,招商公路,12/25/17,招商局公路网络科技控股股份有限公司,4,P9703
001979,招商蛇口,12/30/15,招商局蛇口工业区控股股份有限公司,4,P9703
002705,新宝股份,1/21/14,广东新宝电器股份有限公司,4,P9703
002706,良信股份,1/21/14,上海良信电器股份有限公司,4,P9703
002707,众信旅游,1/23/14,众信旅游集团股份有限公司,4,P9703
002708,光洋股份,1/21/14,常州光洋轴承股份有限公司,4,P9703
002709,天赐材料,1/23/14,广州天赐高新材料股份有限公司,4,P9703
002711,欧浦退,1/27/14,欧浦智网股份有限公司,4,P9703
002712,思美传媒,1/23/14,思美传媒股份有限公司,4,P9703
002713,东易日盛,2/19/14,东易日盛家居装饰集团股份有限公司,4,P9703
002714,牧原股份,1/28/14,牧原食品股份有限公司,4,P9703
002715,登云股份,2/19/14,怀集登云汽配股份有限公司,4,P9703
002716,湖南白银,1/28/14,湖南白银股份有限公司,4,P9703
002717,岭南股份,2/19/14,岭南生态文旅股份有限公司,4,P9703
002718,友邦吊顶,1/28/14,浙江友邦集成吊顶股份有限公司,4,P9703
002719,麦趣尔,1/28/14,麦趣尔集团股份有限公司,4,P9703
002721,*ST 金一,1/27/14,北京金一文化发展股份有限公司,4,P9703
002722,物产金轮,1/28/14,物产中大金轮蓝海股份有限公司,4,P9703
002723,小崧股份,1/29/14,广东小崧科技股份有限公司,4,P9703
002724,海洋王,11/4/14,海洋王照明科技股份有限公司,4,P9703
002725,跃岭股份,1/29/14,浙江跃岭股份有限公司,4,P9703
002726,龙大美食,6/26/14,山东龙大美食股份有限公司,4,P9703
002727,一心堂,7/2/14,一心堂药业集团股份有限公司,4,P9703
002728,特一药业,7/31/14,特一药业集团股份有限公司,4,P9703
002729,好利科技,9/12/14,好利来(中国)电子科技股份有限公司,4,P9703
002730,电光科技,10/9/14,电光防爆科技股份有限公司,4,P9703
002731,萃华珠宝,11/4/14,沈阳萃华金银珠宝股份有限公司,4,P9703
002732,燕塘乳业,12/5/14,广东燕塘乳业股份有限公司,4,P9703
002733,雄韬股份,12/3/14,深圳市雄韬电源科技股份有限公司,4,P9703
